Country Name,Country Code,year,GDP,GDP_per_capita
Australia,AUS,1960,18606786874,1810.61923
Canada,CAN,1960,40461721693,2259.294285
China,CHN,1960,59716467625,89.52054151
Germany,DEU,1960,,
France,FRA,1960,62225478001,1334.689512
United Kingdom,GBR,1960,73233967692,1397.594803
India,IND,1960,37029883876,82.18860274
Japan,JPN,1960,44307342950,475.3190756
New Zealand,NZL,1960,5485854792,2312.949992
Russian Federation,RUS,1960,,
United States,USA,1960,5.433E+11,3007.123445
Australia,AUS,1961,19683055213,1877.616638
Canada,CAN,1961,40934952064,2240.433039
China,CHN,1961,50056868958,75.80583793
Germany,DEU,1961,,
France,FRA,1961,67461644222,1428.046001
United Kingdom,GBR,1961,77741965703,1472.385714
India,IND,1961,39232435784,85.35430099
Japan,JPN,1961,53508617739,568.9077427
New Zealand,NZL,1961,5670064168,2343.292213
Russian Federation,RUS,1961,,
United States,USA,1961,5.633E+11,3066.562869
Australia,AUS,1962,19922723709,1854.656834
Canada,CAN,1962,42227447632,2268.585346
China,CHN,1962,47209359006,70.90941167
Germany,DEU,1962,,
France,FRA,1962,75607529810,1578.284538
United Kingdom,GBR,1962,81247564157,1525.775853
India,IND,1962,42161481858,89.88175649
Japan,JPN,1962,60723018684,639.6407854
New Zealand,NZL,1962,6077496268,2448.628633
Russian Federation,RUS,1962,,
United States,USA,1962,6.051E+11,3243.843078
Australia,AUS,1963,21539926084,1967.116537
Canada,CAN,1963,45029988561,2374.498448
China,CHN,1963,50706799903,74.31364345
Germany,DEU,1963,,
France,FRA,1963,84759195106,1744.640123
United Kingdom,GBR,1963,86561961812,1613.456884
India,IND,1963,48421923459,101.1264294
Japan,JPN,1963,69498131797,724.6937622
New Zealand,NZL,1963,6638937283,2622.220271
Russian Federation,RUS,1963,,
United States,USA,1963,6.386E+11,3374.515171
Australia,AUS,1964,23801097547,2131.377948
Canada,CAN,1964,49377522897,2555.111146
China,CHN,1964,59708343489,85.49855516
Germany,DEU,1964,,
France,FRA,1964,94007851047,1909.54162
United Kingdom,GBR,1964,94407558351,1748.288118
India,IND,1964,56480289941,115.5374961
Japan,JPN,1964,81749006382,843.6168785
New Zealand,NZL,1964,7274144351,2813.546976
Russian Federation,RUS,1964,,
United States,USA,1964,6.858E+11,3573.941185
Australia,AUS,1965,25977153097,2281.098797
Canada,CAN,1965,54515179581,2770.361804
China,CHN,1965,70436266147,98.48677775
Germany,DEU,1965,,
France,FRA,1965,1.01537E+11,2038.163102
United Kingdom,GBR,1965,1.01825E+11,1873.567774
India,IND,1965,59554854576,119.3189163
Japan,JPN,1965,90950278258,928.5188486
New Zealand,NZL,1965,5654463586,2151.294927
Russian Federation,RUS,1965,,
United States,USA,1965,7.437E+11,3827.52711
Australia,AUS,1966,27309889125,2343.99529
Canada,CAN,1966,61088384037,3047.106147
China,CHN,1966,76720285970,104.3245662
Germany,DEU,1966,,
France,FRA,1966,1.10046E+11,2186.474592
United Kingdom,GBR,1966,1.08573E+11,1986.747159
India,IND,1966,45865462034,89.99730437
Japan,JPN,1966,1.05628E+11,1068.55844
New Zealand,NZL,1966,5863733231,2191.312542
Russian Federation,RUS,1966,,
United States,USA,1966,8.15E+11,4146.316646
Australia,AUS,1967,30444618658,2580.271096
Canada,CAN,1967,65668655501,3217.159294
China,CHN,1967,72881631327,96.58953194
Germany,DEU,1967,,
France,FRA,1967,1.18973E+11,2343.104503
United Kingdom,GBR,1967,1.13117E+11,2058.781882
India,IND,1967,50134942204,96.33913646
Japan,JPN,1967,1.23782E+11,1239.318377
New Zealand,NZL,1967,5961418094,2188.399139
Russian Federation,RUS,1967,,
United States,USA,1967,8.617E+11,4336.426587
Australia,AUS,1968,32716989584,2724.372519
Canada,CAN,1968,71829810520,3462.678872
China,CHN,1968,70846535056,91.47271831
Germany,DEU,1968,,
France,FRA,1968,1.29785E+11,2536.085114
United Kingdom,GBR,1968,1.0776E+11,1951.758596
India,IND,1968,53085455871,99.87596272
Japan,JPN,1968,1.46601E+11,1451.337703
New Zealand,NZL,1968,5180597621,1885.156152
Russian Federation,RUS,1968,,
United States,USA,1968,9.425E+11,4695.92339
Australia,AUS,1969,36686079068,2991.607198
Canada,CAN,1969,79148411662,3763.953379
China,CHN,1969,79705906247,100.1299033
Germany,DEU,1969,,
France,FRA,1969,1.41903E+11,2752.095114
United Kingdom,GBR,1969,1.16465E+11,2100.667869
India,IND,1969,58447995017,107.6223184
Japan,JPN,1969,1.72204E+11,1684.659403
New Zealand,NZL,1969,5761588762,2077.895543
Russian Federation,RUS,1969,,
United States,USA,1969,1.0199E+12,5032.144743
Australia,AUS,1970,41337215814,3305.126394
Canada,CAN,1970,87896095320,4121.932814
China,CHN,1970,92602973434,113.1629916
Germany,DEU,1970,2.15838E+11,2761.166833
France,FRA,1970,1.48456E+11,2857.251682
United Kingdom,GBR,1970,1.30672E+11,2347.544318
India,IND,1970,62422483055,112.4344925
Japan,JPN,1970,2.12609E+11,2056.122046
New Zealand,NZL,1970,,
Russian Federation,RUS,1970,,
United States,USA,1970,1.0733E+12,5234.296666
Australia,AUS,1971,45222309329,3495.579294
Canada,CAN,1971,99271961775,4520.162878
China,CHN,1971,99800958648,118.6545778
